,name,size,types,subtype,alignment,armor_class,hit_points,str_stats,dex_stats,con_stats,int_stats,wis_stats,cha_stats,dmg_vul,dmg_resist,dmg_immun,condition_immun,cr,legendary_desc,size_m
0,Aatxe,Large,celestial,shapechanger,lawful good,14,105,22,12,20,10,14,14,,,,"charmed, frightened",5.0,"The aatxe can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aatxe regains spent legendary actions at the start of its turn.",3.5
1,Aboleth,Large,aberration,,lawful evil,17,135,21,9,15,18,15,18,,,,,10.0,"The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aboleth regains spent legendary actions at the start of its turn.",3.5
2,"Aboleth, Nihilith",Large,undead,,chaotic evil,17,135,21,9,15,18,15,18,,"acid, fire, lightning, thunder (only when in ethereal form); bludgeoning, piercing and slashing from nonmagical weapons","cold, necrotic, poison; bludgeoning, piercing and slashing from nonmagical weapons (only when in ethereal form)","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",12.0,"A nihileth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The nihileth regains spent legendary actions at the start of its turn.",3.5
3,Abominable Beauty,Medium,fey,,neutral evil,18,187,17,18,18,17,16,26,,,fire,,11.0,,1.8
4,Accursed Defiler,Medium,undead,,neutral evil,12,75,19,14,17,6,15,14,,"necrotic; bludgeoning, piercing, and slashing from nonmagical weapons",poison,"charmed, exhaustion, frightened, poisoned",4.0,,1.8
5,Acid Ant,Small,monstrosity,,unaligned,13,13,8,13,12,1,7,3,,,acid,,0.25,,0.9
6,Acolyte,Medium,humanoid,any race,any alignment,10,9,10,10,10,10,14,11,,,,,0.25,,1.8
7,Adult Black Dragon,Huge,dragon,,chaotic evil,19,195,23,14,21,14,13,17,,,acid,,14.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
8,Adult Blue Dragon,Huge,dragon,,lawful evil,19,225,25,10,23,16,15,19,,,lightning,,16.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
9,Adult Brass Dragon,Huge,dragon,,chaotic good,18,172,23,10,21,14,13,17,,,fire,,13.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
10,Adult Bronze Dragon,Huge,dragon,,lawful good,19,212,25,10,23,16,15,19,,,lightning,,15.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
11,Adult Cave Dragon,Huge,dragon,,neutral evil,18,243,26,12,24,12,12,20,,,"acid, poison, thunder",poisoned,16.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
12,Adult Copper Dragon,Huge,dragon,,chaotic good,18,184,23,12,21,18,15,17,,,acid,,14.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
13,Adult Flame Dragon,Huge,dragon,,chaotic evil,19,212,19,14,23,17,14,20,,,fire,,16.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
14,Adult Gold Dragon,Huge,dragon,,lawful good,19,256,27,14,25,16,15,24,,,fire,,17.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
15,Adult Green Dragon,Huge,dragon,,lawful evil,19,207,23,12,21,18,15,17,,,poison,poisoned,15.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
16,Adult Light Dragon,Huge,dragon,,neutral good,17,212,22,10,23,16,18,17,,"fire; bludgeoning, piercing, and slashing from nonmagical attacks",radiant,blinded,16.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
17,Adult Mithral Dragon,Huge,dragon,,neutral,18,184,27,18,21,20,21,20,,"bludgeoning, piercing, and slashing from nonmagical weapons","acid, thunder",charmed,14.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
18,Adult Red Dragon,Huge,dragon,,chaotic evil,19,256,27,10,25,16,13,21,,,fire,,17.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
19,Adult Rime Worm,Large,elemental,,neutral,15,105,20,14,20,6,14,3,,,"cold, necrotic",,6.0,,3.5
20,Adult Sea Dragon,Huge,dragon,,neutral evil,19,225,25,10,23,17,15,19,,,cold,,16.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
21,Adult Silver Dragon,Huge,dragon,,lawful good,19,243,27,10,25,16,13,21,,,cold,,16.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
22,Adult Void Dragon,Huge,dragon,,chaotic neutral,19,229,24,10,25,16,13,21,,,cold,"charmed, frightened",14.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
23,Adult Wasteland Dragon,Huge,dragon,,chaotic evil,18,225,26,10,21,14,13,16,,,force,,17.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
24,Adult White Dragon,Huge,dragon,,chaotic evil,18,200,22,10,22,8,12,12,,,cold,,13.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
25,Adult Wind Dragon,Huge,dragon,,chaotic neutral,19,237,24,19,22,16,15,18,,,lightning,"charmed, exhausted, paralyzed, restrained",17.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",6.86
26,Agnibarra,Small,monstrosity,,chaotic neutral,12,39,12,14,16,8,10,12,cold,,fire,,1.0,,0.9
27,Ahu-Nixta,Large,aberration,,neutral evil,14,67,17,15,14,19,13,10,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned, prone",3.0,,3.5
28,Ahuizotl,Small,monstrosity,,unaligned,14,71,16,15,14,6,12,6,,,,,2.0,,0.9
29,Air Elemental,Large,elemental,,neutral,15,90,14,20,14,6,10,6,,"lightning; thunder; bludgeoning, piercing, and slashing from nonmagical weapons",poison,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",5.0,,3.5
30,"Akyishigal, Demon Lord Of Cockroaches",Large,fiend,demon,chaotic evil,18,138,21,17,22,19,14,24,,"acid, fire; bludgeoning, piercing, and slashing from nonmagical weapons","cold, lightning, poison",poisoned,12.0,"Akyishigal can take 2 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Akyishigal regains spent legendary actions at the start of its turn.",3.5
31,Al-Aeshma Genie,Large,elemental,,chaotic evil,17,172,21,15,22,15,16,20,,,"lightning, thunder",,9.0,,3.5
32,Ala,Medium,fey,,chaotic evil,17,127,20,16,18,10,16,8,,,"lightning, poison, thunder",poisoned,8.0,,1.8
33,Alabaster Tree,Huge,celestial,,neutral good,18,105,20,10,18,10,14,10,,"bludgeoning, piercing, and slashing from nonmagical attacks",radiant,stunned,7.0,,6.86
34,Albino Death Weasel,Large,beast,,unaligned,13,45,16,14,15,4,15,5,,,,,1.0,,3.5
35,Alchemical Apprentice,Small,ooze,,unaligned,11,63,13,6,13,16,6,10,,"acid, cold, fire, poison",,"blinded, charmed, deafened, frightened, poisoned, prone",1.0,,0.9
36,Alchemical Golem,Large,construct,,unaligned,15,147,18,7,21,7,10,1,,"acid, cold, fire, lightning","poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",9.0,,3.5
37,Alchemist Archer,Medium,humanoid,elf,any alignment,17,135,11,20,16,18,14,10,,,,,10.0,,1.8
38,Alehouse Drake,Tiny,dragon,,chaotic neutral,13,65,7,16,19,11,12,16,,,,"paralyzed, unconscious",0.5,,0.6
39,Algorith,Medium,construct,,lawful neutral,18,136,21,14,19,13,16,18,,"acid, cold, lightning",poison,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned",10.0,,1.8
40,Alkonost,Small,monstrosity,,neutral,12,17,11,14,10,7,14,13,,lightning,,,0.5,,0.9
41,Alliumite,Small,plant,,chaotic neutral,14,18,6,18,12,7,12,9,,,,,0.25,,0.9
42,Alnaar,Large,fiend,demon,chaotic evil,17,212,20,22,17,9,12,10,cold,"bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison","frightened, poisoned",9.0,,3.5
43,Alp,Small,fey,shapechanger,chaotic evil,13,44,12,16,14,10,16,8,,"cold, necrotic",,"charmed, exhaustion, paralyzed, unconscious",1.0,,0.9
44,Alpha Yek,Medium,fiend,demon,chaotic evil,16,129,16,16,16,15,13,10,,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison,poisoned,9.0,,1.8
45,"Alquam, Demon Lord Of Night",Huge,fiend,demon,chaotic evil,20,350,14,19,23,16,20,16,,"fire, lightning","cold, poison; bludgeoning, piercing, and slashing from nonmagical weapons","charmed, exhaustion, frightened, poisoned",21.0,"Alquam can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Alquam regains spent legendary actions at the start of its turn.",6.86
46,Alseid,Medium,monstrosity,,chaotic neutral,14,49,13,17,12,8,16,8,,,,,0.5,,1.8
47,Alseid Grovekeeper,Medium,monstrosity,,chaotic neutral,15,71,13,17,12,8,16,8,,,,,3.0,,1.8
48,Altar Flame Golem,Large,construct,,neutral,16,152,19,9,18,3,10,1,,,"fire, poison, psychic; bludgeoning, piercing and slashing from nonmagical attacks not made with adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",10.0,,3.5
49,Ammut,Large,celestial,,neutral,17,172,20,12,23,6,16,12,,"cold, radiant",necrotic,frightened,9.0,,3.5
50,Amphiptere,Medium,beast,,unaligned,15,60,11,18,17,2,16,6,,,,,3.0,,1.8
51,Ancient Black Dragon,Gargantuan,dragon,,chaotic evil,22,367,27,14,25,16,15,19,,,acid,,21.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
52,Ancient Blue Dragon,Gargantuan,dragon,,lawful evil,22,481,29,10,27,18,17,21,,,lightning,,23.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
53,Ancient Brass Dragon,Gargantuan,dragon,,chaotic good,20,297,27,10,25,16,15,19,,,fire,,20.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
54,Ancient Bronze Dragon,Gargantuan,dragon,,lawful good,22,444,29,10,27,18,17,21,,,lightning,,22.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
55,Ancient Copper Dragon,Gargantuan,dragon,,chaotic good,21,350,27,12,25,20,17,19,,,acid,,21.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
56,Ancient Flame Dragon,Gargantuan,dragon,,chaotic evil,22,481,23,14,27,19,16,22,,,fire,,24.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
57,Ancient Gold Dragon,Gargantuan,dragon,,lawful good,22,546,30,14,29,18,17,28,,,fire,,24.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
58,Ancient Green Dragon,Gargantuan,dragon,,lawful evil,21,385,27,12,25,20,17,19,,,poison,poisoned,22.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
59,Ancient Light Dragon,Gargantuan,dragon,,neutral good,22,407,26,10,27,18,20,19,,fire,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks",blinded,22.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
60,Ancient Mandriano,Huge,plant,,lawful evil,14,102,21,8,15,12,10,7,fire,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison,"exhaustion, poisoned",8.0,,6.86
61,Ancient Mithral Dragon,Gargantuan,dragon,,neutral,20,297,29,16,25,24,25,24,,"bludgeoning, piercing, and slashing from","acid, thunder",charmed,18.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
62,Ancient Red Dragon,Gargantuan,dragon,,chaotic evil,22,546,30,10,29,18,15,23,,,fire,,24.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
63,Ancient Sea Dragon,Gargantuan,dragon,,neutral evil,22,481,29,10,27,19,17,21,,,cold,,22.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
64,Ancient Silver Dragon,Gargantuan,dragon,,lawful good,22,487,30,10,29,18,15,23,,,cold,,23.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
65,Ancient Titan,Gargantuan,celestial,titan,neutral good,15,198,27,13,22,16,16,20,,"bludgeoning, piercing, and slashing from nonmagical weapons",,,12.0,,10.0
66,Ancient Void Dragon,Gargantuan,dragon,,chaotic neutral,22,448,28,10,29,18,15,23,,,cold,"charmed, frightened",24.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
67,Ancient Wasteland Dragon,Gargantuan,dragon,,chaotic evil,22,333,28,10,26,16,15,19,,,force,,23.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
68,Ancient White Dragon,Gargantuan,dragon,,chaotic evil,20,333,26,10,26,10,13,14,,,cold,,20.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
69,Ancient Wind Dragon,Gargantuan,dragon,,chaotic neutral,20,425,28,19,26,18,17,20,,"bludgeoning, piercing, and slashing from nonmagical weapons","lightning, ranged weapons","charmed, exhausted, paralyzed, restrained",22.0,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",10.0
70,Andrenjinyi,Gargantuan,celestial,,neutral,18,228,30,17,25,10,18,23,,"acid, cold, fire, lightning",psychic,,15.0,,10.0
71,Androsphinx,Large,monstrosity,,lawful neutral,17,199,22,10,20,16,18,23,,,"psychic; bludgeoning, piercing, and slashing from nonmagical weapons","charmed, frightened",17.0,"The sphinx can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The sphinx regains spent legendary actions at the start of its turn.",3.5
72,Angatra,Medium,undead,,neutral evil,17,85,14,20,18,8,12,15,,"necrotic; bludgeoning, piercing, and slashing from nonmagical weapons",poison,"charmed, exhaustion, frightened, poisoned",6.0,,1.8
73,"Angel, Chained",Medium,celestial,,neutral evil,16,88,18,16,12,12,18,20,,piercing,"fire, radiant",,8.0,,1.8
74,Angler Worm,Huge,monstrosity,,unaligned,14,133,14,5,16,3,14,1,,,poison,"blinded, charmed, deafened, poisoned, prone",4.0,,6.86
75,Animated Armor,Medium,construct,,unaligned,18,33,14,11,13,1,3,1,,,"poison, psychic","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned",1.0,,1.8
